DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
613847;VOLUME;19147,24673;114807,7655;10342,32439;11492,81358;19686,75297;331149,8446
;QUANTITY;111,5347052;684,4024903;65,73414776;71,82649378;123,2662748;2068,677105
628654;VOLUME;;;;;;161,6634
;QUANTITY;;;;;;0,9828
628656;VOLUME;2401514,766;2635974,191;2054649,221;2202711,708;2465422,156;2613026,118
;QUANTITY;15547,4177;16172,0621;13422,39788;14823,0289;16618,69179;16674,67815
628657;VOLUME;;;;;;543,0513705
;QUANTITY;;;;;;3,408855361
629501;VOLUME;2972860,629;2669112,924;2857906,968;2380043,765;2652591,342;2921480,62
;QUANTITY;17974,32946;16714,41726;16819,83698;15400,28324;17241,59285;18347,37521
629516;VOLUME;4605768,085;4237268,259;4767155,901;4210151,399;4940885,225;5060740,369
;QUANTITY;18186,29394;18424,25184;19216,32031;17287,80154;20489,11955;21369,61253
642731;VOLUME;7697423,726;8320402,005;8317559,639;10461287,78;9791165,619;9829466,784
;QUANTITY;13399,94433;14455,15311;15260,04154;19076,31656;18053,64172;16868,00308
718894;VOLUME;7267281,247;12166169,43;11448189,73;13936864,84;10841544,51;11072852,31
;QUANTITY;10546,4768;18095,13357;18108,86779;20209,70255;16961,49147;16967,58445
725770;VOLUME;2288510,928;1320318,41;1368621,355;606088,8338;494091,6145;607916,6035
;QUANTITY;2018,423816;1173,911727;1242,04622;528,2416258;431,1631491;545,7474896
726074;VOLUME;;;309910,726;2030265,383;2440972,498;4445138,158
;QUANTITY;;;52,02102776;336,139552;447,5569776;781,62538
770043;VOLUME;;;;;4444,375902;5978,341268
;QUANTITY;;;;;9,404015411;2,644687503
